route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10226_109,148,224581972,Ringbahn S 42,42253,0,4475,1482,1,1
10226_109,163,224581914,S+U Gesundbrunnen Bhf (Berlin),42265,0,4475,1476,1,1
10226_109,145,224582077,Ringbahn S 42,42011,0,4476,1473,1,1
10226_109,145,224581948,Ringbahn S 42,42023,0,4476,1482,1,1
10226_109,145,224581942,Ringbahn S 42,42035,0,4476,1482,1,1
10226_109,162,224581936,Ringbahn S 42,42047,0,4476,1482,1,1
10226_109,148,224582069,Ringbahn S 42,42059,0,4476,1482,1,1
10226_109,148,224582063,S Beusselstr. (Berlin),42071,0,4476,1482,1,1
10226_109,148,224582057,Ringbahn S 42,42083,0,4476,1482,1,1
10226_109,148,224582051,Ringbahn S 42,42095,0,4476,1482,1,1
10226_109,148,224582045,Ringbahn S 42,42107,0,4476,1482,1,1
10226_109,148,224582039,Ringbahn S 42,42119,0,4476,1482,1,1
10226_109,148,224582033,Ringbahn S 42,42131,0,4476,1482,1,1
10226_109,148,224582027,Ringbahn S 42,42143,0,4476,1482,1,1
10226_109,148,224582021,Ringbahn S 42,42155,0,4476,1482,1,1
10226_109,148,224582015,Ringbahn S 42,42167,0,4476,1482,1,1
10226_109,148,224582009,Ringbahn S 42,42179,0,4476,1482,1,1
10226_109,148,224582003,Ringbahn S 42,42191,0,4476,1482,1,1
10226_109,148,224581997,Ringbahn S 42,42203,0,4476,1482,1,1
10226_109,148,224581991,Ringbahn S 42,42215,0,4476,1482,1,1
10226_109,148,224581985,Ringbahn S 42,42227,0,4476,1482,1,1
10226_109,148,224581979,Ringbahn S 42,42239,0,4476,1482,1,1
10226_109,148,224581973,Ringbahn S 42,42251,0,4476,1482,1,1
10226_109,148,224581967,S Beusselstr. (Berlin),42263,0,4476,1482,1,1
10226_109,163,224582155,S Westend (Berlin),42275,0,4476,1480,1,1
10226_109,145,224582078,Ringbahn S 42,42009,0,4477,1472,1,1
10226_109,145,224581949,S Beusselstr. (Berlin),42021,0,4477,1482,1,1
10226_109,162,224581943,Ringbahn S 42,42033,0,4477,1482,1,1
10226_109,162,224581937,Ringbahn S 42,42045,0,4477,1482,1,1
10226_109,148,224582070,Ringbahn S 42,42057,0,4477,1482,1,1
10226_109,148,224582064,Ringbahn S 42,42069,0,4477,1482,1,1
10226_109,148,224582058,Ringbahn S 42,42081,0,4477,1482,1,1
10226_109,148,224582052,Ringbahn S 42,42093,0,4477,1482,1,1
10226_109,148,224582046,Ringbahn S 42,42105,0,4477,1482,1,1
10226_109,148,224582040,Ringbahn S 42,42117,0,4477,1482,1,1
10226_109,148,224582034,Ringbahn S 42,42129,0,4477,1482,1,1
10226_109,148,224582028,Ringbahn S 42,42141,0,4477,1482,1,1
10226_109,148,224582022,Ringbahn S 42,42153,0,4477,1482,1,1
10226_109,148,224582016,Ringbahn S 42,42165,0,4477,1482,1,1
10226_109,148,224582010,Ringbahn S 42,42177,0,4477,1482,1,1
10226_109,148,224582004,Ringbahn S 42,42189,0,4477,1482,1,1
10226_109,148,224581998,Ringbahn S 42,42201,0,4477,1482,1,1
10226_109,148,224581992,Ringbahn S 42,42213,0,4477,1482,1,1
10226_109,148,224581986,Ringbahn S 42,42225,0,4477,1482,1,1
10226_109,148,224581980,Ringbahn S 42,42237,0,4477,1482,1,1
10226_109,148,224581974,Ringbahn S 42,42249,0,4477,1482,1,1
10226_109,148,224581968,S Beusselstr. (Berlin),42261,0,4477,1482,1,1
10226_109,163,224582156,S+U Bundesplatz (Berlin),42273,0,4477,1479,1,1
10226_109,145,224582079,Ringbahn S 42,42007,0,4478,1472,1,1
10226_109,145,224581950,Ringbahn S 42,42019,0,4478,1482,1,1
10226_109,162,224581944,S Beusselstr. (Berlin),42031,0,4478,1482,1,1
10226_109,162,224581938,Ringbahn S 42,42043,0,4478,1482,1,1
10226_109,148,224582071,Ringbahn S 42,42055,0,4478,1482,1,1
10226_109,148,224582065,Ringbahn S 42,42067,0,4478,1482,1,1
10226_109,148,224582059,Ringbahn S 42,42079,0,4478,1482,1,1
10226_109,148,224582053,Ringbahn S 42,42091,0,4478,1482,1,1
10226_109,148,224582047,Ringbahn S 42,42103,0,4478,1482,1,1
10226_109,148,224582041,Ringbahn S 42,42115,0,4478,1482,1,1
10226_109,148,224582035,Ringbahn S 42,42127,0,4478,1482,1,1
10226_109,148,224582029,Ringbahn S 42,42139,0,4478,1482,1,1
10226_109,148,224582023,Ringbahn S 42,42151,0,4478,1482,1,1
10226_109,148,224582017,Ringbahn S 42,42163,0,4478,1482,1,1
10226_109,148,224582011,Ringbahn S 42,42175,0,4478,1482,1,1
10226_109,148,224582005,Ringbahn S 42,42187,0,4478,1482,1,1
10226_109,148,224581999,Ringbahn S 42,42199,0,4478,1482,1,1
10226_109,148,224581993,Ringbahn S 42,42211,0,4478,1482,1,1
10226_109,148,224581987,Ringbahn S 42,42223,0,4478,1482,1,1
10226_109,148,224581981,Ringbahn S 42,42235,0,4478,1482,1,1
