service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
605,0,0,0,0,0,0,0,20240404,20241214
606,0,0,0,0,0,0,0,20240404,20241214
607,1,1,1,1,1,1,1,20240404,20241214
608,0,0,0,0,0,0,0,20240404,20241214
609,0,0,0,0,0,0,0,20240404,20241214
610,0,0,0,0,0,0,0,20240404,20241214
611,0,0,0,0,0,0,0,20240404,20241214
612,1,1,1,1,0,1,0,20240404,20241214
613,0,0,0,0,1,0,1,20240404,20241214
614,0,0,0,0,0,0,0,20240404,20241214
615,0,0,0,0,1,0,1,20240404,20241214
616,1,1,1,1,1,1,1,20240404,20241214
617,0,0,0,0,0,0,0,20240404,20241214
